PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=181 ttl=118 time=87.4 ms
64 bytes from 8.8.8.8: icmp_seq=182 ttl=118 time=115 ms
64 bytes from 8.8.8.8: icmp_seq=183 ttl=118 time=143 ms
64 bytes from 8.8.8.8: icmp_seq=184 ttl=118 time=151 ms
64 bytes from 8.8.8.8: icmp_seq=185 ttl=118 time=240 ms
64 bytes from 8.8.8.8: icmp_seq=186 ttl=118 time=18.6 ms
64 bytes from 8.8.8.8: icmp_seq=187 ttl=118 time=16.2 ms
64 bytes from 8.8.8.8: icmp_seq=188 ttl=118 time=141 ms
64 bytes from 8.8.8.8: icmp_seq=189 ttl=118 time=52.6 ms
64 bytes from 8.8.8.8: icmp_seq=190 ttl=118 time=20.5 ms
64 bytes from 8.8.8.8: icmp_seq=191 ttl=118 time=102 ms
64 bytes from 8.8.8.8: icmp_seq=192 ttl=118 time=16.4 ms
64 bytes from 8.8.8.8: icmp_seq=193 ttl=118 time=24.5 ms
64 bytes from 8.8.8.8: icmp_seq=194 ttl=118 time=22.4 ms
64 bytes from 8.8.8.8: icmp_seq=195 ttl=118 time=20.4 ms
64 bytes from 8.8.8.8: icmp_seq=196 ttl=118 time=18.0 ms
64 bytes from 8.8.8.8: icmp_seq=197 ttl=118 time=16.5 ms
64 bytes from 8.8.8.8: icmp_seq=198 ttl=118 time=34.6 ms
64 bytes from 8.8.8.8: icmp_seq=199 ttl=118 time=22.3 ms
64 bytes from 8.8.8.8: icmp_seq=200 ttl=118 time=20.4 ms
64 bytes from 8.8.8.8: icmp_seq=201 ttl=118 time=18.3 ms
64 bytes from 8.8.8.8: icmp_seq=202 ttl=118 time=46.5 ms
64 bytes from 8.8.8.8: icmp_seq=203 ttl=118 time=304 ms
64 bytes from 8.8.8.8: icmp_seq=204 ttl=118 time=98.9 ms
64 bytes from 8.8.8.8: icmp_seq=205 ttl=118 time=51.2 ms
64 bytes from 8.8.8.8: icmp_seq=206 ttl=118 time=82.1 ms
64 bytes from 8.8.8.8: icmp_seq=207 ttl=118 time=108 ms
64 bytes from 8.8.8.8: icmp_seq=208 ttl=118 time=135 ms
64 bytes from 8.8.8.8: icmp_seq=209 ttl=118 time=149 ms
64 bytes from 8.8.8.8: icmp_seq=210 ttl=118 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=211 ttl=118 time=80.5 ms

--- 8.8.8.8 ping statistics ---
211 packets transmitted, 211 received, 0% packet loss, time 210363ms
rtt min/avg/max/mdev = 15.314/41.808/304.286/43.155 ms
